iter	Passed	Remaining
0	3226	3222985
1	6649	3318135
2	10634	3534192
3	14302	3561238
4	17886	3559501
5	21596	3577833
6	25066	3555813
7	29175	3617822
8	33419	3679894
9	37743	3736637
10	42007	3776841
11	46334	3814873
12	50506	3834633
13	54249	3820723
14	58263	3825986
15	62228	3827022
16	66293	3833315
17	70349	3837976
18	74257	3834044
19	78212	3832419
20	82494	3845835
21	86453	3843261
22	90436	3841584
23	94413	3839473
24	98454	3839720
25	102663	3845926
26	106632	3842731
27	110543	3837437
28	114944	3848660
29	119219	3854752
30	123286	3853711
31	127476	3856153
32	131689	3858902
33	135554	3851349
34	139623	3849622
35	143888	3853010
36	148009	3852247
37	151947	3846670
38	155950	3842789
39	160158	3843810
40	164134	3839137
41	168124	3834847
42	172474	3838558
43	176866	3842827
44	180980	3840810
45	185087	3838560
46	189006	3832404
47	192989	3827617
48	197007	3823554
49	201012	3819228
50	205428	3822588
51	209321	3816094
52	213380	3812658
53	217282	3806475
54	221151	3799781
55	225165	3795647
56	229092	3790075
57	233219	3787803
58	237660	3790491
59	241957	3790661
60	246084	3788083
61	249917	3781007
62	253952	3777039
63	258006	3773350
64	262059	3769629
65	266165	3766644
66	270184	3762421
67	274003	3755463
68	277399	3742878
69	281010	3733423
70	285517	3735860
71	289799	3735197
72	293851	3731514
73	297740	3725782
74	302125	3726208
75	306828	3730384
76	311858	3738250
77	316765	3744325
78	321444	3747471
79	326119	3750377
80	330617	3751078
81	335559	3756625
82	339795	3754128
83	344246	3753924
84	347895	3744991
85	351721	3738067
86	355520	3730923
87	359161	3722219
88	363679	3722606
89	367532	3716166
90	371271	3708634
91	375228	3703345
92	379248	3698696
93	383068	3692123
94	386609	3682964
95	390046	3672935
96	393977	3667649
97	398002	3663249
98	401642	3655348
99	405838	3652547
100	409977	3649206
101	415078	3654321
102	419793	3655871
103	424737	3659278
104	429258	3658920
105	433899	3659495
106	438883	3662831
107	443830	3665713
108	447988	3662000
109	452408	3660395
110	457592	3664862
111	462176	3664401
112	467851	3672424
113	472008	3668419
114	476138	3664194
115	479736	3655919
116	484355	3655434
117	489182	3656431
118	494865	3663665
119	501664	3678875
120	510090	3705533
121	516976	3720536
122	524208	3737648
123	530800	3749848
124	537934	3765538
125	543690	3771310
126	550651	3785187
127	556808	3793257
128	563720	3806206
129	570571	3818438
130	577734	3832454
131	584096	3840876
132	589983	3845979
133	596706	3856324
134	602715	3861841
135	610858	3880747
136	620765	3910368
137	628433	3925430
138	634972	3933176
139	640244	3932933
140	645318	3931409
141	652737	3944008
142	660472	3958214
143	668489	3973797
144	676666	3990001
145	682858	3994253
146	688259	3993777
147	695281	4002565
148	704610	4024320
149	711028	4029161
150	718662	4040692
151	724921	4044296
152	731826	4051354
153	740715	4069123
154	748412	4080054
155	755239	4086041
156	764196	4103299
157	772506	4116773
158	780619	4128939
159	789653	4145681
160	795572	4145871
161	801132	4144131
162	807433	4146145
163	813877	4148791
164	820147	4150442
165	826681	4153328
166	832416	4152114
167	838697	4153551
168	846483	4162293
169	851471	4157185
170	856627	4152891
171	861228	4145911
172	866601	4142654
173	871535	4137290
174	877185	4135302
175	882177	4130196
176	886520	4122070
177	890912	4114212
178	896191	4110463
179	900259	4101183
180	905318	4096439
181	911694	4097614
182	917825	4097612
183	922537	4091251
184	926647	4082259
185	930620	4072716
186	934641	4063441
187	939337	4057137
188	945268	4056152
189	949911	4049624
190	955397	4046682
191	961647	4046931
192	968972	4051610
193	976756	4058068
194	984010	4062195
195	990962	4064969
196	997237	4064880
197	1003002	4062667
198	1009007	4061381
199	1014653	4058613
200	1019231	4051573
201	1026897	4056753
202	1034666	4062214
203	1042665	4068439
204	1050537	4074034
205	1056470	4072025
206	1062863	4071744
207	1068947	4070221
208	1074969	4068425
209	1081706	4069277
210	1088032	4068520
211	1094591	4068575
212	1100795	4067256
213	1107699	4068464
214	1114565	4069461
215	1122019	4072513
216	1128615	4072379
217	1134724	4070433
218	1141015	4069100
219	1146988	4066594
220	1152313	4061775
221	1158338	4059403
222	1163395	4053625
223	1168854	4049245
224	1175239	4048045
225	1180566	4043177
226	1185916	4038385
227	1191333	4033812
228	1196645	4028881
229	1201514	4022462
230	1206553	4016621
231	1211364	4010032
232	1216985	4006129
233	1223059	4003689
234	1229406	4002111
235	1236762	4003757
236	1243819	4004364
237	1251187	4005904
238	1257403	4003699
239	1263150	3999977
240	1269025	3996638
241	1274737	3992773
242	1280057	3987669
243	1285045	3981535
244	1290453	3976702
245	1296596	3974121
246	1302739	3971510
247	1309074	3969452
248	1314831	3965617
249	1320952	3962857
250	1327675	3961867
251	1334062	3959835
252	1339595	3955249
253	1345726	3952408
254	1350404	3945299
255	1355473	3939345
256	1362376	3938698
257	1369694	3939197
258	1376621	3938519
259	1383403	3937379
260	1390614	3937409
261	1397761	3937205
262	1404413	3935562
263	1410354	3931897
264	1418066	3933126
265	1424037	3929486
266	1430372	3926827
267	1435449	3920704
268	1440509	3914543
269	1446233	3910186
270	1451164	3903686
271	1456622	3898607
272	1461382	3891665
273	1466377	3885365
274	1471134	3878446
275	1475989	3871798
276	1481420	3866669
277	1486718	3861189
278	1492941	3858102
279	1498574	3853477
280	1503451	3846910
281	1508892	3841788
282	1514882	3838057
283	1521181	3835090
284	1527230	3831472
285	1533313	3827922
286	1540104	3826113
287	1545544	3820929
288	1550571	3814726
289	1556092	3809742
290	1561662	3804874
291	1567051	3799562
292	1571982	3793144
293	1577249	3787544
294	1581911	3780501
295	1586449	3773176
296	1591502	3767091
297	1597259	3762671
298	1602522	3757084
299	1607935	3751849
300	1614409	3749078
301	1621043	3746650
302	1628560	3746226
303	1634077	3741176
304	1639442	3735779
305	1644642	3730006
306	1650029	3724660
307	1656148	3720957
308	1661877	3716367
309	1667754	3712099
310	1672889	3706175
311	1678169	3700579
312	1683226	3694494
313	1688784	3689509
314	1694503	3684873
315	1699825	3679369
316	1705306	3674209
317	1710368	3668148
318	1715893	3663082
319	1721409	3657994
320	1727280	3653655
321	1732750	3648462
322	1737468	3641690
323	1742496	3635578
324	1747591	3629613
325	1753134	3624578
326	1759231	3620680
327	1764435	3614941
328	1769365	3608645
329	1775438	3604678
330	1780713	3599085
331	1785436	3592383
332	1790768	3586915
333	1797167	3583574
334	1802832	3578756
335	1808138	3573225
336	1813545	3567894
337	1819274	3563194
338	1824972	3558427
339	1829331	3551055
340	1834942	3546120
341	1839542	3539236
342	1844924	3533863
343	1849620	3527182
344	1855298	3522377
345	1860791	3517219
346	1867668	3514661
347	1875872	3514566
348	1881515	3509645
349	1886818	3504090
350	1892056	3498418
351	1897114	3492415
352	1903628	3489087
353	1909202	3484024
354	1914435	3478341
355	1918677	3470866
356	1923558	3464560
357	1928656	3458651
358	1933580	3452436
359	1938333	3445926
360	1942758	3438843
361	1947079	3431592
362	1951676	3424843
363	1956442	3418400
364	1960668	3411026
365	1965248	3404282
366	1969596	3397151
367	1973977	3390091
368	1978465	3383229
369	1983044	3376535
370	1987972	3370443
371	1993240	3364933
372	1997646	3357974
373	2002025	3350983
374	2006973	3344956
375	2011338	3337966
376	2016288	3331957
377	2020425	3324614
378	2025419	3318695
379	2030083	3312241
380	2034458	3305327
381	2039298	3299179
382	2044029	3292862
383	2048311	3285832
384	2053542	3280334
385	2058931	3275087
386	2063874	3269134
387	2068170	3262165
388	2072800	3255735
389	2077606	3249589
390	2081882	3242625
391	2086482	3236177
392	2090727	3229189
393	2095317	3222747
394	2099549	3215764
395	2103878	3208946
396	2108528	3202626
397	2112718	3195619
398	2117877	3190086
399	2122588	3183882
400	2126849	3177014
401	2131475	3170701
402	2135692	3163792
403	2140027	3157069
404	2144607	3150719
405	2148993	3144093
406	2153305	3137371
407	2157924	3131105
408	2162197	3124348
409	2166275	3117323
410	2170755	3110888
411	2175020	3104155
412	2179276	3097421
413	2183518	3090681
414	2188241	3084628
415	2192942	3078553
416	2197387	3072126
417	2201823	3065697
418	2206230	3059236
419	2210664	3052822
420	2215140	3046476
421	2219812	3040406
422	2224479	3034337
423	2228773	3027767
424	2232973	3021082
425	2237400	3014713
426	2241820	3008344
427	2246048	3001727
428	2250240	2995075
429	2255275	2989551
430	2259607	2983100
431	2263994	2976733
432	2268212	2970154
433	2272498	2963672
434	2276724	2957124
435	2280947	2950583
436	2285742	2944789
437	2290163	2938520
438	2294438	2932073
439	2298617	2925513
440	2303121	2919375
441	2307351	2912900
442	2311455	2906276
443	2315738	2899888
444	2320992	2894721
445	2325318	2888400
446	2329545	2881965
447	2334048	2875881
448	2338387	2869602
449	2342736	2863344
450	2347022	2857018
451	2351207	2850578
452	2355953	2844827
453	2360295	2838593
454	2364627	2832356
455	2368791	2825926
456	2372998	2819558
457	2377200	2813193
458	2381745	2807242
459	2386031	2800993
460	2391032	2795588
461	2395239	2789261
462	2399646	2783175
463	2404119	2777172
464	2408339	2770885
465	2412441	2764471
466	2416723	2758273
467	2421345	2752470
468	2426022	2746733
469	2430985	2741324
470	2435523	2735439
471	2439809	2729277
472	2444067	2723093
473	2448617	2717242
474	2452897	2711097
475	2457283	2705077
476	2462508	2699983
477	2467277	2694391
478	2471714	2688440
479	2476016	2682350
480	2480311	2676260
481	2484453	2670014
482	2489149	2664368
483	2493679	2658550
484	2498161	2652687
485	2502986	2647191
486	2507841	2641730
487	2513031	2636622
488	2518365	2631666
489	2522720	2625688
490	2526965	2619604
491	2532000	2614342
492	2536426	2608454
493	2541039	2602765
494	2545159	2596576
495	2549481	2590601
496	2553796	2584626
497	2558529	2579079
498	2562776	2573048
499	2567036	2567036
500	2571219	2560954
501	2575364	2554844
502	2579727	2548955
503	2583996	2542980
504	2588361	2537106
505	2593721	2532210
506	2598247	2526500
507	2602530	2520561
508	2606705	2514523
509	2611423	2509014
510	2615546	2502940
511	2619942	2497132
512	2624384	2491374
513	2628578	2485387
514	2632745	2479381
515	2637173	2473627
516	2641601	2467879
517	2645870	2461987
518	2650510	2456446
519	2654667	2450462
520	2659250	2444877
521	2664005	2439453
522	2668597	2433883
523	2673162	2428292
524	2677665	2422649
525	2682340	2417166
526	2686838	2411527
527	2691118	2405697
528	2695508	2399970
529	2700103	2394431
530	2704866	2389043
531	2709813	2383820
532	2714700	2378546
533	2720116	2373734
534	2725445	2368844
535	2730495	2363712
536	2735729	2358738
537	2741655	2354358
538	2747951	2350288
539	2753786	2345818
540	2759474	2341218
541	2765120	2336578
542	2770587	2331783
543	2775621	2326623
544	2780919	2321685
545	2785937	2316512
546	2790876	2311274
547	2796122	2306290
548	2801510	2301422
549	2806813	2296483
550	2811685	2291192
551	2816393	2285768
552	2820894	2280180
553	2825623	2274779
554	2829848	2268977
555	2834536	2263551
556	2838811	2257797
557	2843532	2252403
558	2847780	2246638
559	2852049	2240895
560	2856215	2235077
561	2860595	2229432
562	2865017	2223823
563	2869462	2218236
564	2874339	2212987
565	2878585	2207254
566	2883286	2201874
567	2887589	2196194
568	2891851	2190488
569	2896606	2185159
570	2900895	2179482
571	2906059	2174464
572	2910883	2169192
573	2915203	2163547
574	2919703	2158041
575	2924352	2152648
